Owner,Count,Owner Dependent Count,Active,Organization,Membership Count
jonschlinkert,312,45230,0.3076923076923077,False,
sindresorhus,277,46799,0.6498194945848376,False,
spryker,145,9,0.993103448275862,True,1
Microsoft,141,24792,0.9290780141843972,True,4209
substack,118,48310,0.0847457627118644,False,
IonicaBizau,117,1144,0.7264957264957265,False,
zendframework,99,635,0.9494949494949495,True,22
the-labo,99,2,0.98989898989899,True,0
mafintosh,97,27861,0.6288659793814433,False,
google,94,2376,0.8829787234042553,True,2725
mapbox,94,14474,0.851063829787234,True,62
canjs,93,8,0.978494623655914,True,6
dominictarr,93,33179,0.24731182795698925,False,
rubysl,91,10,0.0,True,3
spatie,90,146,0.9222222222222223,True,9
dart-lang,87,594,1.0,True,55
symfony,86,4911,0.9883720930232558,True,25
PolymerElements,85,102,0.9647058823529412,True,14
mikolalysenko,81,20175,0.08641975308641975,False,
shinnn,80,34082,0.8,False,
googleapis,77,943,0.987012987012987,True,69
npm,73,44650,0.6986301369863014,True,5
wooorm,66,16291,0.9696969696969697,False,
thephpleague,66,2599,0.696969696969697,True,29
realglobe-Inc,64,2,0.765625,True,11
ember-cli,62,12601,0.7903225806451613,True,27
Azure,62,114,0.9354838709677419,True,1602
uxcore,62,3,0.9838709677419355,True,6
react-component,61,764,0.8688524590163934,True,18
atom,59,103,0.5423728813559322,True,65
libp2p,58,102,1.0,True,25
PrestaShop,58,9,0.4482758620689655,True,15
webpack-contrib,58,22033,0.9310344827586207,True,14
node-modules,56,12037,0.48214285714285715,True,14
segmentio,56,4109,0.6607142857142857,True,20
hapijs,55,19196,0.8909090909090909,True,9
syntax-tree,54,2261,0.9444444444444444,True,5
mattdesl,53,896,0.1509433962264151,False,
jonathantneal,52,6330,0.6923076923076923,False,
75lb,52,1007,0.5,False,
mljs,51,12,0.45098039215686275,True,8
kartik-v,51,65,0.8627450980392157,False,
kevva,51,15372,0.1568627450980392,False,
facebook,50,32496,0.88,True,175
apache,49,1617,0.9183673469387755,True,713
mozilla,48,40382,0.6458333333333334,True,285
purescript,47,53,1.0,True,6
egoist,47,630,0.723404255319149,False,
bahmutov,47,385,0.40425531914893614,False,
strongloop,46,35627,0.717391304347826,True,43
eggjs,46,320,0.8695652173913043,True,16
jaredhanson,46,30047,0.391304347826087,False,
hughsk,46,34494,0.06521739130434782,False,
koajs,46,1721,0.6086956521739131,True,21
spring-projects,45,3860,0.8666666666666667,True,49
inveniosoftware,44,12,0.8636363636363636,True,65
ckeditor,43,128,1.0,True,16
puppetlabs,43,109,0.7441860465116279,True,60
webjars,43,259,0.5116279069767442,True,4
postcss,42,26814,0.9285714285714286,True,16
thlorenz,42,35967,0.21428571428571427,False,
Xotic750,42,5192,0.4523809523809524,False,
Raynos,42,34568,0.047619047619047616,False,
TooTallNate,42,40764,0.42857142857142855,False,
heroku,42,988,0.8809523809523809,True,46
bevry,41,26839,0.5853658536585366,True,9
component,41,38164,0.24390243902439024,True,22
ssbc,41,16,0.8536585365853658,True,23
d3,41,1076,0.9024390243902439,True,4
r-lib,40,601,0.9,True,15
turf-junkyard,40,9,0.0,True,0
silverstripe,40,102,0.95,True,12
mathiasbynens,39,33378,0.46153846153846156,False,
aurelia,39,38,0.9487179487179487,True,28
ljharb,39,39329,0.5641025641025641,False,
angular,38,6376,0.8947368421052632,True,57
gruntjs,38,4361,0.631578947368421,True,20
hashicorp,37,295,0.6216216216216216,True,80
isaacs,37,48295,0.3783783783783784,False,
wikimedia,37,386,0.8648648648648649,True,67
alexcrichton,37,859,0.8918918918918919,False,
ForbesLindesay,37,21534,0.5675675675675675,False,
maxogden,36,34657,0.3888888888888889,False,
auth0,36,3496,0.8333333333333334,True,39
TYPO3-CMS,36,148,1.0,True,1
Dhii,36,2,0.8611111111111112,True,2
vaadin,35,31,0.9428571428571428,True,35
blakeembrey,35,32138,0.7142857142857143,False,
Shopify,35,2831,0.9142857142857143,True,209
scijs,34,397,0.058823529411764705,True,7
laravel-enso,34,3,1.0,True,1
vega,33,31,1.0,True,21
feross,33,43886,0.9090909090909091,False,
fog,33,251,0.696969696969697,True,49
ipfs,33,119,0.9090909090909091,True,59
jsreport,33,4,1.0,True,0
mcollina,33,4853,0.6363636363636364,False,
appium,32,53,0.9375,True,24
balderdashy,32,265,0.59375,True,30
bcoin-org,32,41,0.96875,True,4
wp-cli,32,41,0.9375,True,10
coderaiser,32,825,0.78125,False,
neos,32,39,0.9375,True,20
wix,32,68,0.9375,True,57
yiisoft,32,933,0.90625,True,16
airbnb,32,10620,0.9375,True,24
elastic,31,208,0.9032258064516129,True,150
ekmett,31,82,0.9354838709677419,False,
FasterXML,31,1846,0.6129032258064516,True,11
yahoo,31,19256,0.41935483870967744,True,26
okunishinishi,30,23,0.4666666666666667,False,
ethereum,30,703,0.9666666666666667,True,56
tj,30,44895,0.43333333333333335,False,
vuejs,30,8087,0.8333333333333334,True,34
rapid7,30,9,0.4666666666666667,True,1
rails,29,6652,0.5862068965517241,True,61
rvagg,29,34742,0.2413793103448276,False,
Sylius,29,35,0.9655172413793104,True,9
WebReflection,29,26152,0.6896551724137931,False,
PistonDevelopers,29,138,0.5862068965517241,True,39
remarkjs,29,2256,1.0,True,11
haskell,29,271,0.9655172413793104,True,47
illuminate,29,2221,0.9655172413793104,True,3
getsentry,29,616,0.9310344827586207,True,30
ianstormtaylor,29,1638,0.20689655172413793,False,
thinkjs,29,11,0.6206896551724138,True,6
DataTables,29,277,0.9655172413793104,False,
chrisdickinson,28,9652,0.10714285714285714,False,
imagemin,28,1977,0.75,True,4
sebastianbergmann,28,10314,0.5357142857142857,False,
apollographql,28,1366,0.8928571428571429,True,20
tinper-bee,28,5,0.9642857142857143,True,8
algolia,28,417,0.9285714285714286,True,45
doctrine,28,5083,0.9642857142857143,True,34
thoughtbot,28,594,0.9285714285714286,True,25
zeit,28,46067,0.8571428571428571,True,27
GitbookIO,27,204,0.48148148148148145,True,5
ionic-team,27,834,0.8888888888888888,True,15
bendrucker,27,1498,0.18518518518518517,False,
scottcorgan,27,1728,0.25925925925925924,False,
twolfson,27,213,0.37037037037037035,False,
steelbrain,27,75,0.25925925925925924,False,
developit,27,1620,0.7777777777777778,False,
zopefoundation,27,226,0.9259259259259259,True,57
FormidableLabs,26,707,0.8076923076923077,True,41
karma-runner,26,8547,0.5384615384615384,True,14
Jam3,26,908,0.23076923076923078,True,11
expo,26,800,0.8076923076923077,True,16
bevacqua,25,5249,0.16,False,
devongovett,25,28447,0.12,False,
medikoo,25,18176,0.32,False,
juliangruber,25,50094,0.36,False,
